id,start_date_time,end_date_time,course_code,student_id,admin_id,state,start_checked,end_checked,attendance_key
1401,"2019-06-25 09:24:00","2019-06-25 18:35:00",7,dlaengus63@naver.com,TA02,정상,1,1,none
1402,"2019-06-25 09:24:00","2019-06-25 18:35:00",7,Nam.nulla@naver.com,TA02,정상,1,1,none
1403,"2019-06-25 09:24:00","2019-06-25 18:35:00",7,Nunc.ac@naver.com,TA02,정상,1,1,none
1404,"2019-06-25 09:24:00","2019-06-25 18:35:00",7,sit.amet.risus@naver.com,TA02,정상,1,1,none
1405,"2019-06-25 09:24:00","2019-06-25 18:35:00",7,sit.amet@gmail.com,TA02,정상,1,1,none
1406,"2019-06-25 09:24:00","2019-06-25 18:35:00",7,skyda1204@gmail.com,TA02,정상,1,1,none
1408,"2019-06-26 09:24:00","2019-06-26 18:35:00",7,dlaengus63@naver.com,TA02,정상,1,1,none
1409,"2019-06-26 09:24:00","2019-06-26 18:35:00",7,Nam.nulla@naver.com,TA02,정상,1,1,none
1410,"2019-06-26 09:24:00","2019-06-26 18:35:00",7,Nunc.ac@naver.com,TA02,정상,1,1,none
1411,"2019-06-26 09:24:00","2019-06-26 18:35:00",7,sit.amet.risus@naver.com,TA02,정상,1,1,none
1412,"2019-06-26 09:24:00","2019-06-26 18:35:00",7,sit.amet@gmail.com,TA02,정상,1,1,none
1413,"2019-06-26 09:24:00","2019-06-26 18:35:00",7,skyda1204@gmail.com,TA02,정상,1,1,none
1415,"2019-06-27 09:24:00","2019-06-27 18:35:00",7,dlaengus63@naver.com,TA02,정상,1,1,none
1416,"2019-06-27 09:24:00","2019-06-27 18:35:00",7,Nam.nulla@naver.com,TA02,정상,1,1,none
1417,"2019-06-27 09:24:00","2019-06-27 18:35:00",7,Nunc.ac@naver.com,TA02,정상,1,1,none
1418,"2019-06-27 09:24:00","2019-06-27 18:35:00",7,sit.amet.risus@naver.com,TA02,정상,1,1,none
1419,"2019-06-27 09:24:00","2019-06-27 18:35:00",7,sit.amet@gmail.com,TA02,정상,1,1,none
1420,"2019-06-27 09:24:00","2019-06-27 18:35:00",7,skyda1204@gmail.com,TA02,정상,1,1,none
1422,"2019-06-28 09:24:00","2019-06-28 18:35:00",7,dlaengus63@naver.com,TA02,정상,1,1,none
1423,"2019-06-28 09:24:00","2019-06-28 18:35:00",7,Nam.nulla@naver.com,TA02,정상,1,1,none
